student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
28,grade_trend (-0.06),document_analysis (-0.06),grade_t1 (-0.04),overall_islamia (+0.41),proofs_awareness (+0.07),fiqh_ibadah (+0.03),15.2,14.911774803899803
29,overall_islamia (-1.01),aqida_understanding (-0.17),reasoning_from_verses (-0.05),proofs_awareness (+0.12),structured_answer (+0.09),avg_grade (+0.07),14.5,13.65398187112497
30,overall_islamia (-1.47),fiqh_ibadah (-0.18),practice_intensity (-0.06),aqida_understanding (+0.09),hadith_analysis (+0.03),fiqh_muamalat (+0.03),12.5,12.758571662027418
31,structured_answer (-0.22),aqida_understanding (-0.05),practice_intensity (-0.03),overall_islamia (+3.22),avg_grade (+0.08),grade_t2 (+0.05),18.0,17.727307052669563
32,aqida_understanding (-0.22),fiqh_cases (-0.07),practice_intensity (-0.06),overall_islamia (+3.51),structured_answer (+0.12),document_analysis (+0.10),18.0,18.37204318181819
33,overall_islamia (-1.74),aqida_understanding (-0.11),confidence (-0.07),grade_trend (+0.02),fiqh_composite (+0.01),fiqh_ibadah (+0.01),11.4,12.33447136850966
34,overall_islamia (-0.86),practice_intensity (-0.05),fiqh_cases (-0.04),aqida_understanding (+0.09),reasoning_from_verses (+0.03),fiqh_muamalat (+0.02),13.3,13.551505824183737
35,overall_islamia (-1.27),aqida_understanding (-0.09),avg_grade (-0.07),quran_recitation (+0.22),quran_composite (+0.05),fiqh_cases (+0.03),11.0,13.21223084576138
36,overall_islamia (-4.39),tafsir_understanding (-0.10),grade_trend (-0.10),aqida_understanding (+0.09),explanation_clarity (+0.03),hadith_text_analysis (+0.03),8.4,9.833965967908906
37,aqida_understanding (-0.21),fiqh_ibadah (-0.08),proofs_awareness (-0.05),overall_islamia (+3.38),structured_answer (+0.20),grade_t2 (+0.07),15.5,18.0436246933622
38,overall_islamia (-0.67),grade_t2 (-0.06),avg_grade (-0.05),proofs_awareness (+0.20),structured_answer (+0.14),quran_recitation (+0.05),14.3,14.086250666209507
39,overall_islamia (-0.34),practice_intensity (-0.07),proofs_awareness (-0.06),reasoning_from_verses (+0.04),avg_grade (+0.04),grade_t3 (+0.04),12.9,13.847562893068591
40,document_analysis (-0.09),structured_answer (-0.09),grade_trend (-0.07),overall_islamia (+0.36),past_exams (+0.10),aqida_understanding (+0.06),15.3,14.888140990124423
41,aqida_understanding (-0.20),evidence_usage (-0.09),past_exams (-0.06),overall_islamia (+4.05),structured_answer (+0.14),avg_grade (+0.07),18.9,18.69616893939394
42,hadith_comprehension (-0.06),structured_answer (-0.04),document_analysis (-0.04),overall_islamia (+0.46),grade_trend (+0.14),avg_grade (+0.14),15.0,15.506097140286608
43,overall_islamia (-6.48),tafsir_understanding (-0.11),fiqh_composite (-0.09),grade_trend (+0.19),quran_recitation (+0.04),grade_t1 (+0.03),7.2,7.659000000000005
44,overall_islamia (-0.13),structured_answer (-0.12),hadith_comprehension (-0.02),avg_grade (+0.09),grade_t1 (+0.08),grade_t2 (+0.08),14.0,14.679148525143269
45,aqida_understanding (-0.21),grade_t2 (-0.14),avg_grade (-0.09),overall_islamia (+1.64),hadith_comprehension (+0.04),fiqh_composite (+0.03),15.0,15.643094444444445
46,avg_grade (-0.09),aqida_understanding (-0.08),grade_t2 (-0.06),document_analysis (+0.13),past_exams (+0.06),hadith_comprehension (+0.05),12.5,14.307395792748917
47,avg_grade (-0.10),fiqh_ibadah (-0.06),grade_t2 (-0.05),overall_islamia (+2.64),structured_answer (+0.12),aqida_understanding (+0.06),18.6,17.14395634920635
48,overall_islamia (-2.83),avg_grade (-0.07),structured_answer (-0.06),grade_trend (+0.06),fiqh_composite (+0.04),analysis_composite (+0.03),12.6,11.56084797715901
49,grade_t1 (-0.03),document_analysis (-0.03),fiqh_ibadah (-0.03),overall_islamia (+3.50),aqida_understanding (+0.12),practice_intensity (+0.07),17.0,18.44041230158729
50,overall_islamia (-6.12),tafsir_understanding (-0.10),avg_grade (-0.08),grade_trend (+0.16),grade_t1 (+0.07),quran_recitation (+0.05),9.8,8.377999999999998
51,fiqh_ibadah (-0.03),grade_trend (-0.03),practice_intensity (-0.02),overall_islamia (+4.24),structured_answer (+0.09),past_exams (+0.07),19.3,19.31544880952381
52,evidence_usage (-0.04),stress_level (-0.02),reasoning_from_verses (-0.01),overall_islamia (+4.08),structured_answer (+0.12),aqida_understanding (+0.09),19.2,19.426808730158733
53,past_exams (-0.11),aqida_understanding (-0.09),document_analysis (-0.05),overall_islamia (+0.60),avg_grade (+0.27),grade_trend (+0.22),15.4,15.785492650196097
54,overall_islamia (-1.34),structured_answer (-0.05),avg_grade (-0.05),confidence (+0.04),past_exams (+0.03),aqida_understanding (+0.02),12.6,13.079441439546917
55,structured_answer (-0.13),proofs_awareness (-0.05),document_analysis (-0.04),overall_islamia (+3.39),aqida_understanding (+0.08),practice_intensity (+0.06),18.1,18.104990981240977
56,overall_islamia (-6.30),avg_grade (-0.10),fiqh_composite (-0.09),grade_trend (+0.16),riba_understanding (+0.04),fiqh_ibadah (+0.03),8.0,7.865999999999997
57,overall_islamia (-1.25),avg_grade (-0.06),grade_t2 (-0.04),past_exams (+0.03),confidence (+0.03),fiqh_muamalat (+0.03),12.0,13.14451425797427
58,overall_islamia (-1.60),structured_answer (-0.05),ayah_analysis (-0.05),hadith_comprehension (+0.04),document_analysis (+0.03),fiqh_ibadah (+0.03),12.7,12.799451149372493
59,overall_islamia (-0.18),proofs_awareness (-0.07),reasoning_from_verses (-0.04),past_exams (+0.05),tafsir_understanding (+0.05),aqida_understanding (+0.04),13.8,14.293729330620259
60,overall_islamia (-5.99),avg_grade (-0.07),fiqh_composite (-0.07),grade_trend (+0.15),tafsir_understanding (+0.05),riba_understanding (+0.02),8.0,8.153000000000006
61,overall_islamia (-0.98),aqida_understanding (-0.21),proofs_awareness (-0.07),grade_t2 (+0.08),avg_grade (+0.08),grade_t1 (+0.05),12.1,13.29660955380464
62,overall_islamia (-0.66),aqida_understanding (-0.16),confidence (-0.05),structured_answer (+0.14),stress_level (+0.09),reasoning_from_verses (+0.06),15.0,13.874986471514598
63,overall_islamia (-6.37),tafsir_understanding (-0.10),avg_grade (-0.09),grade_trend (+0.20),fiqh_cases (+0.02),methodology_composite (+0.02),6.2,7.659999999999999
64,avg_grade (-0.11),grade_t2 (-0.09),grade_t1 (-0.05),overall_islamia (+2.78),practice_intensity (+0.09),structured_answer (+0.06),16.3,17.343777380952393
65,overall_islamia (-0.58),fiqh_ibadah (-0.07),avg_grade (-0.06),aqida_understanding (+0.09),reasoning_from_verses (+0.03),past_exams (+0.03),13.6,13.736623205057077
66,practice_intensity (-0.07),quran_recitation (-0.04),fiqh_ibadah (-0.04),overall_islamia (+2.06),avg_grade (+0.22),grade_trend (+0.15),17.7,17.28788856421357
67,structured_answer (-0.13),past_exams (-0.07),grade_trend (-0.05),overall_islamia (+0.31),avg_grade (+0.12),grade_t2 (+0.08),14.4,14.889437276685298
68,past_exams (-0.05),explanation_clarity (-0.03),grade_trend (-0.03),overall_islamia (+2.76),avg_grade (+0.10),grade_t2 (+0.09),17.6,17.63594074675326
69,overall_islamia (-0.14),hadith_text_analysis (-0.07),proofs_awareness (-0.06),grade_t1 (+0.09),hadith_comprehension (+0.05),avg_grade (+0.04),13.9,14.366727119109788
70,overall_islamia (-1.45),aqida_understanding (-0.09),past_exams (-0.09),fiqh_ibadah (+0.03),ayah_analysis (+0.02),fiqh_cases (+0.02),14.1,12.735104670056806
71,structured_answer (-0.07),aqida_understanding (-0.05),proofs_awareness (-0.04),overall_islamia (+4.18),past_exams (+0.06),avg_grade (+0.05),19.2,19.002273989898978
72,overall_islamia (-0.52),grade_t1 (-0.05),grade_t2 (-0.04),aqida_understanding (+0.09),reasoning_from_verses (+0.05),explanation_clarity (+0.04),14.3,13.983254083092888
73,structured_answer (-0.13),overall_islamia (-0.08),fiqh_ibadah (-0.06),document_analysis (+0.09),avg_grade (+0.08),grade_t2 (+0.06),14.1,14.544325478420221
74,overall_islamia (-0.74),reasoning_from_verses (-0.08),avg_grade (-0.05),aqida_understanding (+0.09),hadith_text_analysis (+0.05),analysis_composite (+0.03),14.8,13.686094606420717
75,overall_islamia (-0.57),grade_t2 (-0.05),practice_intensity (-0.04),proofs_awareness (+0.10),aqida_understanding (+0.05),past_exams (+0.04),13.1,14.07592011105218
76,aqida_understanding (-0.13),overall_islamia (-0.12),structured_answer (-0.10),stress_level (+0.10),riba_understanding (+0.03),fiqh_ibadah (+0.02),14.5,13.996587017417285
77,overall_islamia (-0.69),reasoning_from_verses (-0.10),proofs_awareness (-0.07),aqida_understanding (+0.07),hadith_composite (+0.04),grade_t2 (+0.03),13.6,13.644419362402719
78,proofs_awareness (-0.05),explanation_clarity (-0.04),quran_recitation (-0.01),overall_islamia (+4.09),structured_answer (+0.13),aqida_understanding (+0.07),19.4,19.194632323232323
79,document_analysis (-0.04),aqida_understanding (-0.03),structured_answer (-0.02),overall_islamia (+0.41),grade_t2 (+0.08),past_exams (+0.08),14.8,15.177631044318314
80,overall_islamia (-6.54),grade_trend (-0.15),avg_grade (-0.10),tafsir_understanding (+0.02),practice_intensity (+0.02),fiqh_cases (+0.02),6.7,7.272
81,overall_islamia (-1.82),fiqh_ibadah (-0.17),past_exams (-0.11),aqida_understanding (+0.10),grade_trend (+0.05),quran_composite (+0.04),13.3,12.553239021463293
82,avg_grade (-0.12),aqida_understanding (-0.08),grade_t2 (-0.07),overall_islamia (+0.28),past_exams (+0.08),practice_intensity (+0.03),14.8,14.43925729947548
83,overall_islamia (-0.72),structured_answer (-0.06),avg_grade (-0.05),hadith_composite (+0.07),grade_trend (+0.05),reasoning_from_verses (+0.04),11.8,13.893403609445546
84,past_exams (-0.09),grade_trend (-0.05),structured_answer (-0.04),overall_islamia (+4.22),aqida_understanding (+0.09),fiqh_muamalat (+0.04),19.7,18.82326785714286
85,overall_islamia (-0.71),past_exams (-0.09),practice_intensity (-0.06),hadith_analysis (+0.07),aqida_understanding (+0.07),structured_answer (+0.06),13.2,13.775018212998964
86,overall_islamia (-0.17),aqida_understanding (-0.08),past_exams (-0.07),reasoning_from_verses (+0.02),practice_intensity (+0.02),methodology_composite (+0.02),14.2,14.199079489974793
87,avg_grade (-0.20),grade_t2 (-0.11),document_analysis (-0.06),overall_islamia (+0.39),grade_trend (+0.15),proofs_awareness (+0.09),14.2,14.84163039416724
88,overall_islamia (-0.26),aqida_understanding (-0.05),fiqh_cases (-0.04),avg_grade (+0.09),grade_t2 (+0.08),grade_t1 (+0.08),14.8,14.440663786780705
89,overall_islamia (-0.29),aqida_understanding (-0.10),fiqh_ibadah (-0.07),grade_t2 (+0.04),avg_grade (+0.03),fiqh_muamalat (+0.02),14.1,13.880603869719499
90,aqida_understanding (-0.15),grade_t2 (-0.14),avg_grade (-0.13),overall_islamia (+1.08),proofs_awareness (+0.13),structured_answer (+0.06),14.3,15.132928646353653
91,overall_islamia (-6.22),aqida_understanding (-0.11),tafsir_understanding (-0.09),avg_grade (+0.20),grade_trend (+0.12),grade_t1 (+0.09),6.7,8.258999999999997
92,aqida_understanding (-0.04),stress_level (-0.02),grade_trend (-0.01),overall_islamia (+4.26),structured_answer (+0.14),grade_t2 (+0.03),19.1,19.300372799422792
93,overall_islamia (-1.17),grade_t2 (-0.06),avg_grade (-0.05),fiqh_ibadah (+0.10),riba_understanding (+0.08),fiqh_composite (+0.06),13.0,13.182495705440514
94,overall_islamia (-0.65),aqida_understanding (-0.17),structured_answer (-0.08),grade_t1 (+0.14),quran_recitation (+0.10),grade_t2 (+0.06),16.9,14.165587238392277
95,overall_islamia (-1.39),grade_t2 (-0.05),avg_grade (-0.05),aqida_understanding (+0.06),past_exams (+0.05),practice_intensity (+0.03),12.5,13.04808322692597
96,overall_islamia (-0.81),structured_answer (-0.07),grade_t2 (-0.04),reasoning_from_verses (+0.06),aqida_understanding (+0.04),proofs_awareness (+0.03),14.3,13.510785683190981
97,overall_islamia (-1.48),aqida_understanding (-0.21),hadith_comprehension (-0.02),structured_answer (+0.05),confidence (+0.04),analysis_composite (+0.02),14.0,13.022265498210842
98,avg_grade (-0.20),proofs_awareness (-0.11),document_analysis (-0.09),overall_islamia (+0.38),grade_trend (+0.17),past_exams (+0.10),15.8,14.811405166664263
99,grade_t2 (-0.18),structured_answer (-0.10),avg_grade (-0.09),overall_islamia (+2.53),aqida_understanding (+0.05),fiqh_cases (+0.05),14.0,16.553829761904773
