student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
13,overall_proficiency (-1.16),reading_score_derived (-0.41),writing_score_derived (-0.04),skimming_scanning (+0.02),reading_frequency (+0.01),guided_writing (+0.01),11.7,11.281062337662334
14,practice_intensity_derived (-0.04),guided_writing (-0.02),vocabulary_score (-0.02),overall_proficiency (+0.84),reading_score_derived (+0.44),tense_control (+0.02),14.3,14.139927629233517
15,synonym_accuracy (-0.01),writing_frequency (-0.01),motivation (-0.01),overall_proficiency (+2.00),reading_score_derived (+0.53),argumentation_skill (+0.02),16.1,15.675986904761908
16,coherence_score (-0.02),reading_frequency (-0.02),avg_grade (-0.02),overall_proficiency (+1.87),reading_score_derived (+0.51),antonym_accuracy (+0.02),15.4,15.449200757575754
17,overall_proficiency (-1.19),reading_score_derived (-0.39),practice_intensity_derived (-0.04),study_efficiency (+0.03),conditional_mastery (+0.01),main_idea_detection (+0.01),11.6,11.195224458874462
18,argumentation_skill (-0.02),transformation_skill (-0.02),essay_structure (-0.01),overall_proficiency (+0.89),reading_score_derived (+0.46),avg_grade (+0.04),16.4,14.470858058526455
19,vocabulary_richness (-0.03),overall_proficiency (-0.02),text_structure (-0.02),reading_score_derived (+0.38),reading_frequency (+0.03),practice_intensity_derived (+0.03),13.4,13.438815476190479
20,language_score_derived (-0.09),overall_proficiency (-0.08),conditional_mastery (-0.02),reading_score_derived (+0.37),study_efficiency (+0.02),writing_grammar (+0.02),13.5,13.150878744703004
21,study_efficiency (-0.04),grade_t2 (-0.03),psycho_balance (-0.02),overall_proficiency (+3.20),reading_score_derived (+0.73),language_score_derived (+0.10),16.2,17.106499999999993
22,reading_score_derived (-0.16),practice_intensity_derived (-0.09),writing_frequency (-0.03),transformation_skill (+0.04),study_efficiency (+0.03),skimming_scanning (+0.02),11.8,12.786687404262407
23,reading_score_derived (-0.21),overall_proficiency (-0.19),language_score_derived (-0.04),study_efficiency (+0.06),essay_structure (+0.04),text_structure (+0.03),12.1,12.652971033868093
24,overall_proficiency (-0.34),language_score_derived (-0.04),study_hours (-0.03),reading_score_derived (+0.14),study_efficiency (+0.05),skimming_scanning (+0.02),12.9,12.847055378689937
25,cohesion_score (-0.03),overall_proficiency (-0.03),vocabulary_richness (-0.02),reading_score_derived (+0.36),transformation_skill (+0.05),reading_frequency (+0.01),14.1,13.36956071428571
26,reading_score_derived (-0.42),skimming_scanning (-0.02),vocabulary_score (-0.01),writing_score_derived (+0.04),practice_intensity_derived (+0.04),reading_frequency (+0.02),13.1,12.712560918982978
27,practice_intensity_derived (-0.03),synonym_accuracy (-0.02),avg_grade (-0.02),overall_proficiency (+2.06),reading_score_derived (+0.59),study_efficiency (+0.03),15.3,15.721722222222226
28,overall_proficiency (-0.87),reading_score_derived (-0.37),study_efficiency (-0.10),text_structure (+0.04),tense_control (+0.02),skimming_scanning (+0.01),10.3,11.57460494227994
29,grade_t2 (-0.01),grade_t1 (-0.00),study_hours (-0.00),overall_proficiency (+2.14),reading_score_derived (+0.54),conditional_mastery (+0.04),15.6,15.925462229437233
30,overall_proficiency (-0.42),reading_score_derived (-0.32),language_score_derived (-0.04),writing_score_derived (+0.04),study_efficiency (+0.03),argumentation_skill (+0.03),11.8,12.246222550815196
31,overall_proficiency (-1.70),reading_score_derived (-0.43),language_score_derived (-0.06),skimming_scanning (+0.04),guided_writing (+0.02),main_idea_detection (+0.02),11.4,10.72423517316017
32,transformation_skill (-0.04),vocabulary_score (-0.02),main_idea_detection (-0.02),overall_proficiency (+0.52),reading_score_derived (+0.41),argumentation_skill (+0.03),14.1,13.873114538239536
33,transformation_skill (-0.02),cohesion_score (-0.02),vocabulary_richness (-0.01),overall_proficiency (+0.49),reading_score_derived (+0.37),vocabulary_score (+0.03),14.8,13.919191666666666
34,guided_writing (-0.03),main_idea_detection (-0.02),essay_structure (-0.01),overall_proficiency (+0.82),reading_score_derived (+0.40),argumentation_skill (+0.04),13.9,14.30325944741533
35,overall_proficiency (-0.79),reading_score_derived (-0.36),practice_intensity_derived (-0.04),argumentation_skill (+0.06),study_efficiency (+0.04),inference_skill (+0.02),11.4,11.778273363401299
36,practice_intensity_derived (-0.03),vocabulary_score (-0.01),reading_frequency (-0.01),overall_proficiency (+1.19),reading_score_derived (+0.48),argumentation_skill (+0.04),14.6,14.736365605636193
37,coherence_score (-0.03),grade_t3 (-0.02),reading_frequency (-0.02),overall_proficiency (+0.60),reading_score_derived (+0.44),transformation_skill (+0.03),14.4,14.050755952380957
38,coherence_score (-0.01),past_exam_practice (-0.01),writing_grammar (-0.01),overall_proficiency (+4.08),reading_score_derived (+0.80),language_score_derived (+0.19),18.4,18.38900000000002
39,overall_proficiency (-2.01),reading_score_derived (-0.62),language_score_derived (-0.06),study_hours (+0.06),practice_intensity_derived (+0.04),essay_structure (+0.03),10.9,10.312677489177492
40,overall_proficiency (-1.46),reading_score_derived (-0.56),language_score_derived (-0.04),writing_frequency (+0.02),inference_skill (+0.01),guided_writing (+0.01),10.7,10.848312012987012
41,overall_proficiency (-0.66),reading_score_derived (-0.32),language_score_derived (-0.04),argumentation_skill (+0.04),practice_intensity_derived (+0.04),grade_t1 (+0.03),12.9,12.127402877514639
42,overall_proficiency (-3.02),reading_score_derived (-0.73),study_efficiency (-0.04),text_structure (+0.02),past_exam_practice (+0.01),tense_control (+0.01),8.5,9.120249999999995
43,vocabulary_score (-0.02),synonym_accuracy (-0.02),writing_score_derived (-0.02),overall_proficiency (+1.85),reading_score_derived (+0.56),study_efficiency (+0.03),14.8,15.506204220779216
44,overall_proficiency (-2.35),reading_score_derived (-0.61),argumentation_skill (-0.08),study_hours (+0.04),guided_writing (+0.02),practice_intensity_derived (+0.01),9.1,9.90274404761905
45,overall_proficiency (-0.54),language_score_derived (-0.06),transformation_skill (-0.02),reading_score_derived (+0.43),skimming_scanning (+0.02),grade_t1 (+0.02),12.2,12.872578906306112
46,transformation_skill (-0.02),coherence_score (-0.02),imbalance_score_derived (-0.01),overall_proficiency (+1.12),reading_score_derived (+0.47),writing_score_derived (+0.04),14.1,14.635796825396822
47,overall_proficiency (-0.49),reading_score_derived (-0.34),language_score_derived (-0.04),writing_score_derived (+0.04),practice_intensity_derived (+0.01),grammar_mastery (+0.01),12.6,12.04297043283514
48,overall_proficiency (-1.44),reading_score_derived (-0.39),argumentation_skill (-0.06),study_hours (+0.04),skimming_scanning (+0.03),practice_intensity_derived (+0.02),11.2,11.103669155844154
49,overall_proficiency (-0.26),language_score_derived (-0.06),transformation_skill (-0.03),reading_score_derived (+0.42),essay_structure (+0.06),grade_t1 (+0.02),13.0,13.149080357142866
50,overall_proficiency (-0.34),transformation_skill (-0.04),language_score_derived (-0.03),reading_score_derived (+0.42),study_efficiency (+0.04),coherence_score (+0.02),12.2,12.981807542457544
51,overall_proficiency (-2.36),reading_score_derived (-0.63),practice_intensity_derived (-0.08),argumentation_skill (+0.02),synonym_accuracy (+0.02),guided_writing (+0.02),11.1,9.810803571428572
52,overall_proficiency (-0.09),transformation_skill (-0.03),essay_structure (-0.02),reading_score_derived (+0.35),reading_frequency (+0.03),conditional_mastery (+0.01),12.8,13.178099442224438
53,vocabulary_score (-0.02),synonym_accuracy (-0.01),imbalance_score_derived (-0.01),overall_proficiency (+1.01),reading_score_derived (+0.48),argumentation_skill (+0.06),14.6,14.611952880452883
54,overall_proficiency (-3.00),reading_score_derived (-0.78),language_score_derived (-0.04),study_hours (+0.03),guided_writing (+0.03),practice_intensity_derived (+0.02),9.5,9.165472222222224
55,argumentation_skill (-0.03),synonym_accuracy (-0.02),practice_intensity_derived (-0.02),overall_proficiency (+1.80),reading_score_derived (+0.53),text_structure (+0.02),14.9,15.35356666666666
56,essay_structure (-0.02),guided_writing (-0.01),avg_grade (-0.01),overall_proficiency (+0.96),reading_score_derived (+0.47),argumentation_skill (+0.05),15.7,14.54980476190476
57,overall_proficiency (-2.04),reading_score_derived (-0.61),language_score_derived (-0.06),study_hours (+0.07),practice_intensity_derived (+0.03),argumentation_skill (+0.02),10.6,10.270625
58,overall_proficiency (-3.15),reading_score_derived (-0.85),writing_score_derived (-0.05),tense_control (+0.02),text_structure (+0.02),transformation_skill (+0.01),8.7,8.834999999999997
59,overall_proficiency (-0.35),language_score_derived (-0.06),writing_score_derived (-0.02),reading_score_derived (+0.41),skimming_scanning (+0.02),inference_skill (+0.02),13.1,12.982746582420848
60,psycho_balance (-0.02),conditional_mastery (-0.02),writing_score_derived (-0.02),overall_proficiency (+2.69),reading_score_derived (+0.66),language_score_derived (+0.08),17.3,16.511666666666663
61,overall_proficiency (-3.47),reading_score_derived (-0.91),language_score_derived (-0.15),imbalance_score_derived (+0.02),study_hours (+0.02),main_idea_detection (+0.00),8.0,8.234999999999996
62,psycho_balance (-0.02),coherence_score (-0.01),practice_intensity_derived (-0.01),overall_proficiency (+4.16),reading_score_derived (+0.81),language_score_derived (+0.18),18.5,18.476750000000017
63,overall_proficiency (-0.06),coherence_score (-0.06),cohesion_score (-0.02),reading_score_derived (+0.34),reading_frequency (+0.03),practice_intensity_derived (+0.03),14.5,13.313385994397755
64,overall_proficiency (-3.44),reading_score_derived (-0.91),language_score_derived (-0.16),conditional_mastery (+0.02),grammar_mastery (+0.01),writing_frequency (+0.01),8.0,8.266999999999996
65,reading_score_derived (-0.42),transformation_skill (-0.02),vocabulary_richness (-0.02),overall_proficiency (+0.34),study_efficiency (+0.04),writing_score_derived (+0.03),13.4,13.03674993734336
66,confidence (-0.03),psycho_balance (-0.02),conditional_mastery (-0.02),overall_proficiency (+2.31),reading_score_derived (+0.65),language_score_derived (+0.09),16.5,16.207855555555557
67,overall_proficiency (-0.80),reading_score_derived (-0.37),writing_score_derived (-0.05),study_efficiency (+0.04),conditional_mastery (+0.01),inference_skill (+0.01),10.9,11.710631059218564
68,overall_proficiency (-0.60),reading_score_derived (-0.25),language_score_derived (-0.04),study_efficiency (+0.05),skimming_scanning (+0.01),imbalance_score_derived (+0.01),11.7,12.086670210181973
69,argumentation_skill (-0.01),synonym_accuracy (-0.01),guided_writing (-0.01),overall_proficiency (+0.82),reading_score_derived (+0.40),main_idea_detection (+0.03),14.1,14.31211134698635
70,psycho_balance (-0.01),synonym_accuracy (-0.01),writing_score_derived (-0.01),overall_proficiency (+1.81),reading_score_derived (+0.50),language_score_derived (+0.08),15.1,15.403550432900436
71,language_score_derived (-0.03),imbalance_score_derived (-0.02),text_structure (-0.01),reading_score_derived (+0.36),study_efficiency (+0.03),practice_intensity_derived (+0.02),12.5,13.390440406162462
72,overall_proficiency (-1.20),reading_score_derived (-0.41),language_score_derived (-0.06),practice_intensity_derived (+0.03),writing_frequency (+0.03),reading_frequency (+0.01),11.6,11.265587576312585
73,overall_proficiency (-0.50),reading_score_derived (-0.12),study_efficiency (-0.09),text_structure (+0.03),study_hours (+0.02),skimming_scanning (+0.02),11.2,12.262968831168832
74,overall_proficiency (-0.67),reading_score_derived (-0.34),language_score_derived (-0.04),argumentation_skill (+0.04),study_efficiency (+0.04),practice_intensity_derived (+0.02),11.7,12.03686872351505
75,overall_proficiency (-0.35),language_score_derived (-0.05),reading_frequency (-0.03),reading_score_derived (+0.40),inference_skill (+0.02),conditional_mastery (+0.01),12.8,12.892770779220779
76,overall_proficiency (-0.75),reading_score_derived (-0.36),study_efficiency (-0.05),writing_score_derived (+0.03),synonym_accuracy (+0.01),psycho_balance (+0.01),11.2,11.776286904761905
77,overall_proficiency (-1.29),reading_score_derived (-0.36),argumentation_skill (-0.05),writing_frequency (+0.02),guided_writing (+0.01),motivation (+0.01),11.4,11.166348376623377
78,overall_proficiency (-0.87),reading_score_derived (-0.36),writing_score_derived (-0.05),practice_intensity_derived (+0.02),text_structure (+0.02),skimming_scanning (+0.01),11.6,11.679394716394725
79,overall_proficiency (-0.63),language_score_derived (-0.06),practice_intensity_derived (-0.05),reading_score_derived (+0.43),study_efficiency (+0.02),conditional_mastery (+0.01),12.2,12.594785236169058
80,practice_intensity_derived (-0.05),argumentation_skill (-0.02),study_efficiency (-0.02),overall_proficiency (+0.82),reading_score_derived (+0.46),main_idea_detection (+0.03),12.7,14.254867672523563
81,psycho_balance (-0.02),guided_writing (-0.02),confidence (-0.02),overall_proficiency (+3.22),reading_score_derived (+0.69),language_score_derived (+0.10),17.4,17.238666666666667
82,main_idea_detection (-0.07),vocabulary_score (-0.02),guided_writing (-0.01),overall_proficiency (+0.45),reading_score_derived (+0.38),transformation_skill (+0.04),12.3,13.79405800865801
83,reading_score_derived (-0.24),overall_proficiency (-0.23),language_score_derived (-0.05),writing_score_derived (+0.03),cohesion_score (+0.02),synonym_accuracy (+0.02),12.2,12.517215575845723
84,synonym_accuracy (-0.03),psycho_balance (-0.01),study_efficiency (-0.01),overall_proficiency (+1.76),reading_score_derived (+0.51),avg_grade (+0.02),15.0,15.306913888888891
85,overall_proficiency (-0.26),language_score_derived (-0.07),cohesion_score (-0.02),reading_score_derived (+0.40),writing_grammar (+0.02),antonym_accuracy (+0.02),12.5,13.1529586996337
86,cohesion_score (-0.02),study_efficiency (-0.01),vocabulary_score (-0.01),overall_proficiency (+0.90),reading_score_derived (+0.48),argumentation_skill (+0.05),13.8,14.499176793141496
87,language_score_derived (-0.05),guided_writing (-0.02),main_idea_detection (-0.01),overall_proficiency (+0.46),reading_score_derived (+0.37),reading_frequency (+0.04),14.1,13.850559974747481
88,text_structure (-0.03),practice_intensity_derived (-0.02),study_efficiency (-0.02),overall_proficiency (+2.14),reading_score_derived (+0.65),language_score_derived (+0.10),16.6,16.045884848484846
89,overall_proficiency (-0.34),language_score_derived (-0.07),reading_frequency (-0.04),reading_score_derived (+0.42),ordering_information (+0.01),skimming_scanning (+0.01),12.4,12.90320684364655
90,overall_proficiency (-1.12),reading_score_derived (-0.55),language_score_derived (-0.05),text_structure (+0.03),study_hours (+0.02),writing_frequency (+0.02),11.3,11.308630555555553
91,overall_proficiency (-3.19),reading_score_derived (-0.84),writing_score_derived (-0.05),guided_writing (+0.04),text_structure (+0.02),grade_t1 (+0.01),9.0,8.816
92,overall_proficiency (-0.28),reading_score_derived (-0.18),language_score_derived (-0.04),practice_intensity_derived (+0.03),text_structure (+0.02),argumentation_skill (+0.02),12.6,12.512822710622704
93,overall_proficiency (-2.10),reading_score_derived (-0.65),practice_intensity_derived (-0.10),guided_writing (+0.01),argumentation_skill (+0.01),tense_control (+0.01),9.1,9.916725000000003
94,overall_proficiency (-3.50),reading_score_derived (-0.92),language_score_derived (-0.15),study_hours (+0.02),reading_frequency (+0.01),practice_intensity_derived (+0.01),8.2,8.231999999999994
95,overall_proficiency (-3.18),reading_score_derived (-0.74),language_score_derived (-0.11),practice_intensity_derived (+0.04),guided_writing (+0.02),main_idea_detection (+0.01),9.5,8.874999999999998
96,synonym_accuracy (-0.02),conditional_mastery (-0.02),grade_t3 (-0.01),overall_proficiency (+1.96),reading_score_derived (+0.53),language_score_derived (+0.09),15.7,15.78782222222222
97,main_idea_detection (-0.03),practice_intensity_derived (-0.01),consistency (-0.01),overall_proficiency (+1.19),reading_score_derived (+0.46),argumentation_skill (+0.07),15.8,14.854816612554112
98,overall_proficiency (-3.18),reading_score_derived (-0.84),writing_score_derived (-0.05),study_efficiency (+0.04),text_structure (+0.02),vocabulary_richness (+0.02),8.8,8.861099999999993
99,overall_proficiency (-0.87),reading_score_derived (-0.34),study_efficiency (-0.07),argumentation_skill (+0.02),writing_frequency (+0.02),antonym_accuracy (+0.01),11.5,11.665917142579646
