student_id,weakness_1,weakness_2,weakness_3,strength_1,strength_2,strength_3,actual_score,predicted_score
41,avg_grade (-1.89),argumentation_score_derived (-0.03),grade_t3 (-0.03),text_type_score (+0.08),argumentative_text (+0.07),text_type_score_derived (+0.03),11.9,11.369362745098037
42,avg_grade (-3.26),grade_t3 (-0.10),comprehension_score (-0.07),writing_score (+0.02),preparation_score (+0.01),practice_intensity (+0.01),9.4,9.437999999999994
43,historical_text (-0.02),psycho_score (-0.01),filiere (-0.01),avg_grade (+0.84),comprehension_score (+0.09),grade_t3 (+0.06),14.0,14.3905400921659
44,avg_grade (-2.91),essay_structure (-0.06),grade_t3 (-0.06),filiere (+0.02),practice_score (+0.01),communicative_intent (+0.00),10.0,9.755333333333336
45,avg_grade (-0.48),argumentation_score_derived (-0.05),global_skills_score (-0.04),comprehension_score (+0.02),preparation_score (+0.02),language_accuracy (+0.02),12.7,12.656447222222228
46,argumentation_score (-0.03),filiere (-0.02),thesis_identification (-0.02),avg_grade (+1.44),comprehension_score (+0.07),grade_t3 (+0.06),14.2,14.674553571428575
47,avg_grade (-0.55),comprehension_score (-0.05),writing_score (-0.04),grade_t3 (+0.11),argumentation_score_derived (+0.07),thesis_identification (+0.03),11.9,12.646511363636364
48,avg_grade (-1.29),argumentation_score_derived (-0.05),grade_t3 (-0.04),thesis_identification (+0.03),practice_score (+0.01),bac_exams_practiced (+0.01),12.0,11.628022619047618
49,avg_grade (-0.42),writing_score (-0.03),essay_structure (-0.02),argumentation_score_derived (+0.05),global_skills_score (+0.04),comprehension_score_derived (+0.02),13.2,12.94279603174604
50,essay_structure (-0.06),comprehension_score (-0.06),argumentation_score_derived (-0.03),avg_grade (+0.74),grade_t3 (+0.04),language_accuracy (+0.01),13.5,13.734602394916918
51,avg_grade (-2.15),grade_t3 (-0.08),argumentation_score (-0.07),psycho_score (+0.01),coherence_cohesion (+0.01),language_accuracy (+0.00),10.5,10.548717343767349
52,avg_grade (-0.34),argumentation_score_derived (-0.06),global_skills_score (-0.03),grade_t3 (+0.11),comprehension_score (+0.03),argumentative_text (+0.02),13.1,12.947038888888894
53,filiere (-0.01),grade_t1 (-0.01),coherence_cohesion (-0.01),avg_grade (+0.83),comprehension_score (+0.08),grade_t3 (+0.05),14.6,14.369015125152625
54,avg_grade (-1.81),communicative_intent (-0.08),grade_t3 (-0.08),grade_t2 (+0.03),lexical_analysis (+0.00),reference_tracking (+0.00),10.4,10.700297368421056
55,historical_text (-0.02),preparation_score (-0.01),argument_identification (-0.01),avg_grade (+1.58),comprehension_score (+0.07),grade_t3 (+0.06),15.2,15.089908771929826
56,global_skills_score (-0.03),argumentation_score_derived (-0.03),psycho_score (-0.01),avg_grade (+0.81),comprehension_score (+0.07),text_type_score (+0.07),14.3,14.220818876956383
57,avg_grade (-2.20),comprehension_score (-0.07),grade_t3 (-0.06),communicative_intent (+0.01),imbalance_score (+0.01),critical_reasoning (+0.00),11.0,10.611886702904938
58,avg_grade (-3.15),grade_t3 (-0.10),comprehension_score (-0.06),writing_score (+0.07),historical_text (+0.02),filiere (+0.01),9.0,9.619000000000002
59,avg_grade (-1.03),argumentation_score_derived (-0.05),grade_t3 (-0.04),argumentation_score (+0.04),thesis_identification (+0.03),text_type_score (+0.03),11.5,12.115125936563441
60,thesis_identification (-0.07),concession_opposition (-0.03),argumentation_score (-0.03),avg_grade (+3.87),grade_t3 (+0.16),comprehension_score (+0.04),17.1,17.34199999999999
61,avg_grade (-3.19),grade_t3 (-0.10),comprehension_score (-0.06),inference (+0.02),filiere (+0.02),true_false_justification (+0.01),9.0,9.445000000000002
62,preparation_score (-0.02),coherence_cohesion (-0.01),texts_analyzed_per_week (-0.00),avg_grade (+4.39),grade_t3 (+0.21),argumentation_score_derived (+0.07),19.0,18.358000000000008
63,avg_grade (-0.33),global_skills_score (-0.02),preparation_score (-0.01),argumentation_score_derived (+0.05),writing_score (+0.03),comprehension_score (+0.03),13.2,13.018376190476195
64,avg_grade (-3.24),grade_t3 (-0.10),comprehension_score (-0.07),true_false_justification (+0.01),essays_per_week (+0.01),practice_intensity (+0.00),9.0,9.28275
65,comprehension_score (-0.06),communicative_intent (-0.03),essay_structure (-0.02),avg_grade (+1.20),grade_t3 (+0.07),writing_score_derived (+0.03),14.0,14.345013108038918
66,concession_opposition (-0.03),critical_reasoning (-0.02),language_accuracy (-0.01),avg_grade (+2.53),global_skills_score (+0.04),comprehension_score (+0.04),16.2,15.930410683760678
67,avg_grade (-1.92),grade_t3 (-0.05),historical_text (-0.02),argumentative_text (+0.10),concession_opposition (+0.02),communicative_intent (+0.02),10.9,11.216698603683898
68,avg_grade (-2.23),grade_t3 (-0.08),argumentation_score_derived (-0.02),argumentation_score (+0.03),historical_text (+0.01),comprehension_textuelle (+0.01),10.9,10.748374857985162
69,thesis_identification (-0.03),preparation_score (-0.02),argument_identification (-0.02),avg_grade (+0.81),text_type_score (+0.05),grade_t3 (+0.05),14.1,14.176466680631197
70,avg_grade (-0.32),lexical_analysis (-0.01),bac_exams_practiced (-0.01),comprehension_score (+0.06),writing_score (+0.05),argumentation_score (+0.05),14.1,13.295514285714289
71,avg_grade (-0.26),grade_t3 (-0.07),thesis_identification (-0.05),writing_score (+0.02),comprehension_score (+0.02),text_type_score (+0.02),13.2,12.840272402597405
72,avg_grade (-1.61),grade_t3 (-0.12),communicative_intent (-0.06),language_accuracy (+0.01),filiere (+0.01),writing_score_derived (+0.01),10.4,11.001888095238096
73,avg_grade (-0.33),global_skills_score (-0.03),comprehension_score (-0.03),argumentation_score_derived (+0.05),grade_t3 (+0.02),argumentation_score (+0.02),12.2,12.800595634920635
74,avg_grade (-0.88),argumentation_score_derived (-0.05),grade_t3 (-0.05),thesis_identification (+0.02),argumentative_text (+0.02),essay_structure (+0.01),11.8,12.007637606837605
75,avg_grade (-1.36),argumentation_score_derived (-0.05),writing_score_derived (-0.02),text_type_score (+0.05),argumentative_text (+0.05),argumentation_score (+0.04),11.9,11.865207142857148
76,avg_grade (-1.11),thesis_identification (-0.05),argumentation_score (-0.04),argumentation_score_derived (+0.07),preparation_score (+0.02),argumentative_text (+0.02),12.2,11.9176196969697
77,avg_grade (-0.77),comprehension_score (-0.07),argumentation_score_derived (-0.06),filiere (+0.01),coherence_cohesion (+0.00),texts_analyzed_per_week (+0.00),12.0,11.906628174603172
78,avg_grade (-1.24),grade_t3 (-0.06),inference (-0.03),argumentation_score_derived (+0.03),thesis_identification (+0.02),argumentative_text (+0.02),12.3,11.845720779220779
79,avg_grade (-1.28),grade_t3 (-0.06),argumentation_score_derived (-0.05),argumentative_text (+0.04),comprehension_score (+0.03),thesis_identification (+0.03),11.6,11.845858333333338
80,historical_text (-0.05),communicative_intent (-0.02),argumentation_score (-0.02),avg_grade (+1.22),global_skills_score (+0.06),grade_t3 (+0.06),14.0,14.52421866359447
81,true_false_justification (-0.01),filiere (-0.01),practice_intensity (-0.01),avg_grade (+3.42),essay_structure (+0.05),text_type_score (+0.04),16.6,17.130250000000004
82,argumentation_score_derived (-0.03),global_skills_score (-0.03),argumentation_score (-0.02),avg_grade (+1.25),grade_t3 (+0.05),communicative_intent (+0.04),14.5,14.489825438596498
83,comprehension_score (-0.07),text_type_score (-0.06),global_skills_score (-0.05),avg_grade (+0.62),preparation_score (+0.02),psycho_score (+0.01),13.4,13.337621212121217
84,historical_text (-0.04),argumentation_score (-0.02),argument_identification (-0.01),avg_grade (+1.70),comprehension_score (+0.07),grade_t3 (+0.04),15.3,15.119670634920626
85,avg_grade (-0.26),grade_t3 (-0.05),writing_score (-0.03),argumentation_score_derived (+0.04),thesis_identification (+0.03),comprehension_score (+0.02),12.9,12.908329545454546
86,argumentation_score (-0.03),preparation_score (-0.01),stress (-0.01),avg_grade (+1.60),grade_t3 (+0.08),comprehension_score (+0.07),14.8,15.0866
87,avg_grade (-0.38),preparation_score (-0.02),true_false_justification (-0.01),argumentation_score_derived (+0.05),writing_score (+0.03),global_skills_score (+0.03),13.5,13.022428083028087
88,historical_text (-0.02),filiere (-0.01),preparation_score (-0.01),avg_grade (+1.64),argumentation_score (+0.09),comprehension_score (+0.09),14.8,15.341986111111117
89,grade_t3 (-0.06),argumentation_score_derived (-0.05),global_skills_score (-0.05),argumentative_text (+0.02),grade_t1 (+0.01),text_type_score (+0.01),12.3,12.927012499999996
90,avg_grade (-1.74),grade_t3 (-0.07),communicative_intent (-0.05),argumentative_text (+0.07),language_accuracy (+0.01),true_false_justification (+0.01),11.3,11.190308080808084
91,avg_grade (-2.12),grade_t3 (-0.08),argumentation_score (-0.07),filiere (+0.01),grade_t2 (+0.01),coherence_cohesion (+0.01),10.7,10.498764310223898
92,avg_grade (-0.71),grade_t3 (-0.07),argumentation_score (-0.06),comprehension_score (+0.03),argumentative_text (+0.01),comprehension_score_derived (+0.01),12.8,12.181730555555557
93,avg_grade (-3.20),grade_t3 (-0.10),comprehension_score (-0.06),writing_score (+0.07),critical_reasoning (+0.00),coherence_cohesion (+0.00),9.6,9.536
94,avg_grade (-3.24),grade_t3 (-0.10),comprehension_score (-0.06),filiere (+0.02),coherence_cohesion (+0.02),preparation_score (+0.01),9.0,9.439
95,avg_grade (-3.33),grade_t3 (-0.10),writing_score (-0.06),filiere (+0.02),comprehension_textuelle (+0.02),essays_per_week (+0.01),9.0,9.218
96,filiere (-0.01),grade_t1 (-0.01),thesis_identification (-0.01),avg_grade (+0.95),comprehension_score (+0.08),text_type_score (+0.06),15.0,14.58144230769231
97,comprehension_score (-0.02),filiere (-0.01),thesis_identification (-0.01),avg_grade (+1.54),grade_t3 (+0.07),argumentation_score (+0.05),14.8,14.903023809523807
98,avg_grade (-3.26),grade_t3 (-0.09),comprehension_score (-0.07),confidence (+0.01),stress (+0.01),essays_per_week (+0.01),9.0,9.295000000000003
99,avg_grade (-1.71),grade_t3 (-0.10),argumentative_text (-0.04),argumentation_score (+0.03),communicative_intent (+0.02),concession_opposition (+0.01),10.9,11.082269841269849
